japanese_name,english_name,debut,affiliations,origin,age,birthday,blood_type,bounty,description,devil_fruit_name,avatar_src
アギョウ,Agyo,Chapter 706; Episode 652,Corrida Colosseum,N/A,N/A,November 29th,N/A,N/A,"Agyo is a fighting lion (闘獅子, Tōjishi?) and a gladiator competing at the Corrida Colosseum for the Mera Mera no Mi.",N/A,https://onepieceql.s3.amazonaws.com/Agyo_Anime.jpg
アルファ,Alpha,Chapter 1100,CP8,N/A,N/A,N/A,N/A,N/A,Alpha is a member of the CP8 branch of Cipher Pol.,N/A,https://onepieceql.s3.amazonaws.com/Alpha_Manga.jpg
アサヒジャー,Heercomes Dasun,Chapter 483; Episode 375,Marines,N/A,N/A,N/A,N/A,N/A,Asahija is a Marine Chief Petty Officer whose shadow was once stolen by Gecko Moria.,N/A,https://onepieceql.s3.amazonaws.com/Asahija_Anime.jpg
あひる,Ahiru,Chapter 905; Episode 883,Revolutionary Army,N/A,N/A,N/A,N/A,N/A,Ahiru is the deputy commander of the East Army in the Revolutionary Army and the assistant of Belo Betty.,N/A,https://onepieceql.s3.amazonaws.com/Ahiru_Anime.jpg
アブドーラ,Abdullah,Chapter 704; Episode 633,Ideo Pirates; Straw Hat Grand Fleet,N/A,N/A,N/A,N/A,N/A,"Abdullah is a criminal and a former bounty hunter who joined as a gladiator at the Corrida Colosseum to compete for the Mera Mera no Mi, along with his partner Jeet. He is an ally of Luffy during the Dressrosa Arc. After the battle with the Donquixote Pirates at Dressrosa, he joined the XXX Gym Martial Arts Alliance, which later converted to a pirate crew called the Ideo Pirates.",N/A,https://onepieceql.s3.amazonaws.com/Abdullah_Anime.jpg
アンジョウ,Anjo,Chapter 1; We Are!,N/A,East Blue,N/A,January 1st,N/A,N/A,Anjo is a pirate admirer. He witnessed Gol D. Roger's execution. He has a tattoo of a plain Jolly Roger on his right arm.,N/A,https://onepieceql.s3.amazonaws.com/Anjo_Anime.jpg
アスワ,Aswa,Chapter 163; Episode 100,Neutral civilian,N/A,N/A,N/A,N/A,N/A,Aswa is Koza's mother and Toto's wife.,N/A,https://onepieceql.s3.amazonaws.com/Aswa_Anime.jpg
アクマイ,Akumai,Chapter 129; Episode 78,Baroque Works,Grand Line,N/A,December 27th,N/A,N/A,Akumai was a Billions agent who followed Mr. 2 Bon Kurei everywhere before he was captured by Hina when Mr. 2 and his crew sacrificed themselves to save the Straw Hat Pirates. His current fate is unknown.,N/A,https://onepieceql.s3.amazonaws.com/Akumai_Anime.jpg
A・Oアー・オー,A.O. (VIZ Media and FUNimation subs); A.O (FUNimation dub),Chapter 551; Episode 460,A O Pirates; Subordinate of the Whitebeard Pirates,N/A,N/A,January 15th,N/A,N/A,A O is an infamous New World pirate and captain of the A O Pirates. He and his crew were subordinates to Whitebeard.,N/A,https://onepieceql.s3.amazonaws.com/A_O_Anime.jpg
アマドブ,Amadob,Chapter 558; Episode 467,Ally of the Whitebeard Pirates,N/A,N/A,June 20th,N/A,N/A,Amadob is an infamous New World pirate who allied himself with Whitebeard.,N/A,https://onepieceql.s3.amazonaws.com/Amadob_Anime.jpg
アルユータヤン五世,N/A,Chapter 292; Episode 189,Lvneel Kingdom,North Blue,N/A,N/A,N/A,N/A,Aruyutayan V was the king of Lvneel Kingdom roughly 400 years ago when Mont Blanc Noland discovered Shandora.,N/A,https://onepieceql.s3.amazonaws.com/Aruyutayan_V_Anime.jpg
バンチ,Bunchi (Viz) Bunch (WT100),Chapter 114; Episode 67,Baroque Works,West Blue,N/A,N/A,N/A,N/A,"Banchi is a giant ""all-terrain"" turtle used by Baroque Works—particularly Miss All-Sunday—for transportation. He is classified as a Type A creature, ""Big Friendly"".",N/A,https://onepieceql.s3.amazonaws.com/Banchi_Anime.jpg
バシリスク,Basilisk,Chapter 528; Episode 425,"World Government, Impel Down",West Blue,N/A,N/A,N/A,N/A,"The Basilisk is the second-in-command of Impel Down's Level 2: Beast Hell, under the Sphinx.",N/A,https://onepieceql.s3.amazonaws.com/Basilisk_Anime.jpg
バンキーナ,Bankina (WT100); Banchina (Live-Action Series),Chapter 41; Episode 17,N/A,East Blue (Syrup Village),N/A,December 17th,N/A,N/A,Banchina was Usopp's mother and Yasopp's wife. She died of sickness when Usopp was still young.,N/A,https://onepieceql.s3.amazonaws.com/Banchina_Anime.jpg
バッチー,Bacchy,Chapter 43; Episode 20,N/A,East Blue,N/A,July 1st,N/A,N/A,Batchee is a fly that Fullbody put in his soup to try to humiliate Sanji.,N/A,https://onepieceql.s3.amazonaws.com/Batchee_Manga.jpg
アンコロ,Ankoro,Chapter 606; Episode 525,Flying Pirates,N/A,N/A,November 23rd,N/A,N/A,"Ankoro is a gigantic anglerfish formerly under the command of captain Vander Decken IX, residing in the Underworld of the Sea, seven thousand meters underneath the ocean surface. Wadatsumi seems to regard Ankoro as a pet, as apparently Ankoro was told ""not to eat ships"" before.",N/A,https://onepieceql.s3.amazonaws.com/Ankoro_Anime.jpg
アンドレ,Andre,Chapter 558; Episode 479,Whitebeard Pirates,N/A,Over 30,May 19th,N/A,N/A,"Andre is a New World pirate captain who was once a member of the Whitebeard Pirates, before forming his own crew subordinate to Whitebeard. He is the twin brother of the Marine officer Candre.",N/A,https://onepieceql.s3.amazonaws.com/Andre_Anime.jpg
アルパカマン,Alpaca-Man,Chapter 934; Episode 929,Beasts Pirates,N/A,N/A,N/A,N/A,N/A,Alpacaman is a Gifter in the Beasts Pirates who serves as a guard in the Prisoner Mines of the Udon Region of Wano Country.,N/A,https://onepieceql.s3.amazonaws.com/Alpacaman_Anime.jpg
暴アトラス,Atlas,Chapter 1062; Episode 1091,Marines (SSG),N/A,N/A,N/A,N/A,N/A,"Atlas, also designated as Punk-05 (PUNK-05パンク ファイブ, Panku-Faibu?), is one of the six satellites of Dr. Vegapunk, embodying his aspect of ""violence"".",N/A,https://onepieceql.s3.amazonaws.com/Atlas_Anime.jpg
ババヌキ,Babanuki,Chapter 934; Episode 930,Beasts Pirates; Tama,N/A,N/A,N/A,N/A,N/A,"Babanuki is a Shinuchi of the Beasts Pirates who serves as the warden of the Prisoner Mine in Udon, a region of Wano Country. After the prison takeover, Babanuki was tamed by Tama.",N/A,https://onepieceql.s3.amazonaws.com/Babanuki_Anime.jpg
バキュラ,"Bacura (Viz, FUNimation), Bakula (FUNimation subtitles)",Chapter 516; Episode 410,Kuja,Calm Belt (Amazon Lily),N/A,November 29th,N/A,N/A,Bacura is a black panther owned by the Kuja Pirates under Boa Hancock.,N/A,https://onepieceql.s3.amazonaws.com/Bacura_Anime.jpg
ビール6世,Beer VI,Chapter 823; Episode 777,N/A,N/A,N/A,N/A,N/A,N/A,Beer VI is the king of the Roshwan Kingdom.,N/A,https://onepieceql.s3.amazonaws.com/Beer_VI_Anime.jpg
バクスコン,Baxcon,Chapter 718; Episode 648,Tontatta Kingdom Scouting Unit; Tontatta Pirates; Straw Hat Grand Fleet,N/A,N/A,N/A,N/A,N/A,Baxcon is a dwarf from Tontatta Kingdom who first appeared in the Riku Royal Army Headquarters beneath the Flower Field.,N/A,https://onepieceql.s3.amazonaws.com/Baxcon_Anime.jpg
アラマキ,Aramaki,Chapter 905; Episode 882,Marines,N/A,N/A,N/A,N/A," (3,000,000,000)","Aramaki, better known by his alias Ryokugyu, is an Admiral in the Marines. He was conscripted through a World Military Draft during the two-year timeskip, being appointed to his rank (next to Fujitora) to fill the two Admiral vacancies caused by Kuzan's resignation and Sakazuki's promotion.",Mori Mori no Mi,https://onepieceql.s3.amazonaws.com/Aramaki_Anime.jpg
バスカビル,Baskerville,Chapter 379; Episode 267,World Government (Enies Lobby),Grand Line,Bas: 48 And: 53 Kerville: 42,Bas: March 30th And: March 31st Kerville: April 1st,Bas: X And: XF Kerville: F,N/A,"Three-Headed Baskerville is the Chief Justice of Enies Lobby, in service of the World Government. Ostensibly a three-headed man, ""he"" is actually three men—Bas, And, and Kerville—who are such close friends that they prefer acting as one body.",N/A,https://onepieceql.s3.amazonaws.com/Baskerville_Anime.jpg
アシュラ童子,Ashura Doji,Chapter 920; Episode 910,Mt. Atama Thieves; Kozuki Family; Nine Red Scabbards,Grand Line (Wano Country),N/A,April 10th,X,N/A,"Ashura Doji was a former bandit, a samurai from Wano Country and a retainer of the Kozuki Family, serving as one of Kozuki Oden's Nine Red Scabbards. After Oden's death, he returned to being a criminal under the name Shutenmaru, assuming leadership of the Mt. Atama Thieves. He initially severed his ties with the Kozuki Family in the present but rejoined after witnessing Yasuie's death.",N/A,https://onepieceql.s3.amazonaws.com/Ashura_Doji_Anime.jpg
アイサ,Aisa,Chapter 249; Episode 161,Shandia; Wagomuland,Sky Islands (Skypiea),9 (debut) 11 (after timeskip),January 3rd,F,N/A,"Aisa is a young Shandia girl who used to sneak onto the Upper Yard frequently to collect Vearth. She is Isa's daughter. After the timeskip, she works in the Wagomuland theme park and sells Cloud Balloons.",N/A,https://onepieceql.s3.amazonaws.com/Aisa_Manga_Post_Timeskip.jpg
バットマン,Bat-Man (Viz) Batman (Funimation),Chapter 914; Episode 900,Beasts Pirates,N/A,N/A,N/A,N/A,N/A,Batman is a Gifter in the Beasts Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Batman_Anime.jpg
アラディン,Aladdin,Chapter 620; Episode 540,Sun Pirates; Ryugu Kingdom (former),Grand Line (Ryugu Kingdom),46,January 31st,XF,Unknown,"Aladine is a goatsbeard brotula merman. He was originally a Ryugu Kingdom soldier who was then enslaved, but then became a pirate as the doctor and later first mate of the Sun Pirates. He is the husband of Charlotte Praline, serving as the bond between the Sun Pirates and the Charlotte Family.",N/A,https://onepieceql.s3.amazonaws.com/Aladine_Anime.jpg
バスティーユ,Bastille,Chapter 553; Episode 462,Marines,Grand Line,36 (debut) 38 (after timeskip),July 14th,F,N/A,"""Shark Cutter"" Bastille is a Marine Vice Admiral who took part in the Summit War of Marineford. He later appeared in Dressrosa under the command of Admiral Fujitora.",N/A,https://onepieceql.s3.amazonaws.com/Bastille_Anime.jpg
バンクロ,Bancro,Chapter 967; Episode 959,Roger Pirates,N/A,N/A,N/A,N/A,N/A,Bankuro was a member of the Roger Pirates until the crew's dissolution. His current whereabouts and status are unknown.,N/A,https://onepieceql.s3.amazonaws.com/Bankuro_Anime.jpg
アブサロム,Absalom,Chapter 444; Episode 339,Thriller Bark Pirates (Mysterious Four) (former),West Blue,34 (debut),December 30th,F,N/A,Absalom of the Graveyard was the leader of the Zombie Soldiers and Zombie Generals of Thriller Bark prior to its collapse. He was one of the Mysterious Four of the Thriller Bark Pirates and one of the major antagonists of the Thriller Bark Saga.,Suke Suke no Mi,https://onepieceql.s3.amazonaws.com/Absalom_Anime.jpg
アトモス,Atmos,Chapter 553; Episode 461,Whitebeard Pirates,West Blue,N/A,March 19th,N/A,N/A,"""Water Buffalo"" Atmos is the former 13th division commander of the Whitebeard Pirates.",N/A,https://onepieceql.s3.amazonaws.com/Atmos_Anime.jpg
ベビー5,Baby 5 Baby Five (WT100),Chapter 682; Episode 608,Happo Navy; Chinjao Family; Straw Hat Grand Fleet; Donquixote Pirates (defected),North Blue,24,May 15th,XF,N/A,"Baby 5 is a pirate and the wife of Sai, the Happo Navy's 13th leader. She is a former servant and assassin of the Donquixote Pirates, serving as an officer in the Pica Army. Her real name has not been revealed, as ""Baby 5"" is a codename given to her upon joining the Donquixote Pirates.",Buki Buki no Mi,https://onepieceql.s3.amazonaws.com/Baby_5_Anime.jpg
ベーブ,Babe,Chapter 160; Episode 103,New Spiders Cafe; Baroque Works (former),Grand Line,28 (debut) 30 (after timeskip),June 19th,F,"3,200,000","""Catcher-Killing"" Babe, better known by his alias Mr. 4, is a former officer agent of the Baroque Works and partner of Miss Merry Christmas. He is also Lassoo's owner.",N/A,https://onepieceql.s3.amazonaws.com/Babe_Anime.jpg
バルトロメオ,Bartolomeo,Chapter 705; Episode 633,Barto Club; his own Mafia Family (former); Straw Hat Grand Fleet,East Blue,24,October 6th,X,"200,000,000 150,000,000","Bartolomeo the Cannibal is a Super Rookie, the captain of the Barto Club and the captain of the second ship of the Straw Hat Grand Fleet. He joined as a gladiator to compete for the Mera Mera no Mi at the Corrida Colosseum, where he met Monkey D. Luffy and pledged his loyalty towards him after winning the B Block.",Bari Bari no Mi,https://onepieceql.s3.amazonaws.com/Bartolomeo_Anime.jpg
ベコリ,Bekori,Chapter 1097,N/A,N/A,N/A,N/A,N/A,N/A,Bekori is the former king of the Sorbet Kingdom.,N/A,https://onepieceql.s3.amazonaws.com/Bekori_Manga.jpg
アルビダ,Alvida,Chapter 2; Episode 1,"Cross Guild; Buggy's Delivery, Buggy and Alvida Alliance; Buggy Pirates (Acting Captain, temporarily); Alvida Pirates (formerly)",East Blue,25 (debut) 27 (after timeskip),March 14th (Beauty Day),S,"5,000,000","""Iron Mace"" Alvida is the former captain of the Alvida Pirates and the first antagonist encountered by Luffy on his journey after going to sea. Due to her actions, she can be regarded as the secondary antagonist of the Romance Dawn Arc and the tertiary antagonist of the Loguetown Arc.",Sube Sube no Mi,https://onepieceql.s3.amazonaws.com/Alvida_Anime.jpg
エーエスエ・ムアール,N/A,SBS Volume 105 (mentioned),Marines,N/A,N/A,N/A,N/A,N/A,Ayesé Mar is an okaki artisan from the western part of South Blue.,N/A,https://onepieceql.s3.amazonaws.com/NoPicAvailable.jpg
バンシー,Banshee,Chapter 552; Episode 461,Spade Pirates,N/A,Over 30,N/A,N/A,N/A,Banshee is a mermaid and was the only female member of the Spade Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Banshee_Anime.jpg
バケゾー,Bazeko,Chapter 668; Episode 594,Marines; G-5,N/A,N/A,N/A,N/A,N/A,Bakezo is a member of the G-5 branch of the Marines.,N/A,https://onepieceql.s3.amazonaws.com/Bakezo_Anime.jpg
番三郎,Banzaburo,Chapter 960; Episode 960,Kozuki Family,N/A,N/A,N/A,N/A,N/A,Banzaburo was a samurai of Wano Country who worked as a servant to the Kozuki Family until their fall 20 years ago.,N/A,https://onepieceql.s3.amazonaws.com/Banzaburo_Anime.jpg
ベラドンナ,Belladonna,Chapter 514; Episode 408,Kuja,Calm Belt (Amazon Lily),N/A,October 26th,N/A,N/A,"Belladonna is one of the Kuja of Amazon Lily, and the doctor of the island.",N/A,https://onepieceql.s3.amazonaws.com/Belladonna_Anime.jpg
アバロ・ピサロ,Avalo Pizarro,Chapter 575; Episode 484,Blackbeard Pirates; Impel Down (former),North Blue,40 (debut) 42 (after timeskip),September 30th,X,Unknown,"Avalo Pizarro, also known as the ""Corrupt King"", was one of the criminals who was given a life sentence in Level 6 of Impel Down, as his crimes were so atrocious, he had to effectively be erased from history. Prior to his life of crime, he was once a king of a North Blue kingdom that overthrew him for his despotic ways. He has since been freed by Marshall D. Teach and has become a member of the Blackbeard Pirates.",Shima Shima no Mi,https://onepieceql.s3.amazonaws.com/Avalo_Pizarro_Anime_Post_Timeskip.jpg
ベレット,Beret,Chapter 537; Episode 439,Unnamed kingdom (former),N/A,N/A,N/A,N/A,N/A,"Bellett was the prince of an unnamed kingdom who became a pirate and was consequently imprisoned in Impel Down, and whose gender was unwillingly inverted.",N/A,https://onepieceql.s3.amazonaws.com/Bellett_Anime.jpg
バリエテ,Bariete,Chapter 804; Episode 753,Mokomo Dukedom (Recon Squad); Ninja-Pirate-Mink-Samurai Alliance,N/A,N/A,N/A,N/A,N/A,"Bariete is a monkey mink who is a member of the Recon Squad (偵察隊, Teisatsu-tai?), and the one in charge of guarding the gates of the Mokomo Dukedom.",N/A,https://onepieceql.s3.amazonaws.com/Bariete_Anime.jpg
バオファン,Bao Huang,Chapter 979; Episode 985,Beasts Pirates,N/A,N/A,N/A,N/A,N/A,"Bao Huang is a Shinuchi in the Beasts Pirates, being part of the crew's surveillance division, the ""Marys"". She appears to have the duty of keeping and presenting daily schedules for the crew and their captain Kaidou.",N/A,https://onepieceql.s3.amazonaws.com/Bao_Huang_Anime.jpg
バリー,Barry,Chapter 552; Episode 461,Spade Pirates,N/A,N/A,N/A,N/A,N/A,Barry is a member of the Spade Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Barry_Anime.jpg
ベロ・ベティ,Belo Betty,Chapter 904; Episode 880,Revolutionary Army (East Army),East Blue,34,June 15th,XF,"457,000,000","Belo Betty is the current commander of the East Army in the Revolutionary Army following the death of the previous commander, Ginny.",Kobu Kobu no Mi,https://onepieceql.s3.amazonaws.com/Belo_Betty_Anime.jpg
ビヨ,Beeyo (Viz); Biyo (Funimation subs),Chapter 658; Episode 583,N/A,N/A,N/A,N/A,N/A,N/A,Biyo is a child who was held captive on Punk Hazard by Caesar Clown. He was freed with the rest of the children by the Straw Hat Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Biyo_Anime.jpg
ブルマリン,Bluemarine,Chapter 967; Episode 959,Roger Pirates,N/A,N/A,N/A,N/A,N/A,Blumarine was a member of the Roger Pirates until the crew's dissolution. His current whereabouts and status are unknown.,N/A,https://onepieceql.s3.amazonaws.com/Blumarine_Anime.jpg
BB（ブラックバック）,BB (Blackback) BB (Black Back) (WT100),Chapter 805; Episode 754,Mokomo Dukedom; Guardians;,N/A,N/A,N/A,N/A,N/A,"Blackback, also known by his initials BB, is a gorilla mink and a Guardian of the Whale Forest.",N/A,https://onepieceql.s3.amazonaws.com/Blackback_Anime.jpg
ボボンバ,Bobomba,Chapter 711; Episode 641,Tontatta Kingdom; Straw Hat Grand Fleet (Tontatta Pirates),N/A,N/A,N/A,N/A,N/A,Bobomba is a dwarf from Tontatta Kingdom who first appeared on Green Bit. He is the younger brother of Bomba.,N/A,https://onepieceql.s3.amazonaws.com/Bobomba_Anime.jpg
ボガード,Bogard,Chapter 92 (cover); Episode 68,N/A,N/A,N/A,N/A,N/A,N/A,Bogard is a Marine Headquarters officer and the right hand man of Vice Admiral Monkey D. Garp.,N/A,https://onepieceql.s3.amazonaws.com/Bogard_Anime.jpg
ボビン,Bobbin,Chapter 651; Episode 571,Big Mom Pirates,N/A,N/A,N/A,N/A,"105,500,000","""Sweeper"" Bobbin is a bishop-ranked combatant of the Big Mom Pirates.",N/A,https://onepieceql.s3.amazonaws.com/Bobbin_Anime.jpg
ビアン,Bian,Chapter 717; Episode 647,Tontatta Kingdom; Tontatta Pirates; Straw Hat Grand Fleet,N/A,N/A,N/A,N/A,N/A,Bian is a dwarf from Tontatta Kingdom who serves as the leader of the Pink Bee Squad and a member of the Tontatta Pirates.,"Mushi Mushi no Mi, Model: Suzumebachi",https://onepieceql.s3.amazonaws.com/Bian_Anime.jpg
ビシャ門,Bishamon,Chapter 931; Episode 925,Beasts Pirates; Orochi Oniwabanshu (former); Kurozumi Family (former),Wano Country,28,August 1st,XF,N/A,"Bishamon is a ninja and a member of the Beasts Pirates. He previously was a member of the Orochi Oniwabanshu which served the shogun of Wano Country, Kurozumi Orochi.",N/A,https://onepieceql.s3.amazonaws.com/Bishamon_Anime.jpg
ビザール,Bizarre,Chapter 553; Episode 468,Subordinate of the Whitebeard Pirates,N/A,N/A,February 3rd,N/A,N/A,Bizarre is an infamous New World pirate captain who was allied with Whitebeard.,N/A,https://onepieceql.s3.amazonaws.com/Bizarre_Anime.jpg
アーロン,Arlong,Chapter 69; Episode 31,Arlong Pirates; Sun Pirates (former); Impel Down (former),"Grand Line (Ryugu Kingdom, Fish-Man Island)",39 (debut) 41 (after timeskip),May 3rd,F,"20,000,000","Arlong the Saw is a sawshark fish-man. He was the captain of the all fish-man crew (excluding Nami), the Arlong Pirates, a former member of the Sun Pirates, and the older half-brother of Madam Shyarly. He is also a major inspirational figure for the New Fish-Man Pirates.",N/A,https://onepieceql.s3.amazonaws.com/Arlong_Anime.jpg
ブギ,Boogie,Chapter 1038; Episode 1065,Kid Pirates,N/A,N/A,N/A,N/A,N/A,Boogie is a member of the Kid Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Boogie_Anime.jpg
ブルーノ,Blueno,Chapter 325; Episode 230,CP0; CP9 (former),North Blue,30 (debut) 32 (after timeskip),April 20th,X,N/A,Blueno is an agent of CP0.,Doa Doa no Mi,https://onepieceql.s3.amazonaws.com/Blueno_Anime_Post_Timeskip.jpg
ブロンディ,Blondie,Chapter 558; Episode 468,Subordinate of the Whitebeard Pirates,N/A,N/A,February 6th,N/A,N/A,Blondie is an infamous New World pirate who was allied with Whitebeard.,N/A,https://onepieceql.s3.amazonaws.com/Blondie_Anime.jpg
ブラメンコ,Blamenco,Chapter 553; Episode 461,Whitebeard Pirates,South Blue,N/A,February 5th,N/A,N/A,Blamenco is the former 6th division commander of the Whitebeard Pirates.,Poke Poke no Mi,https://onepieceql.s3.amazonaws.com/Blamenco_Anime.jpg
ボア・サンダーソニア,Boa Sandersonia,Chapter 516; Episode 409,Kuja (Kuja Pirates),Calm Belt (Amazon Lily),28 (debut) 30 (after timeskip),September 3rd,S,"40,000,000","Boa Sandersonia is the younger sister of Boa Hancock, the ruler of Amazon Lily. She is also one of the second-in commands of the Kuja Pirates and the older sister of Boa Marigold. She and her sisters are referred to by the Kuja as the Gorgon Sisters.","Hebi Hebi no Mi, Model: Anaconda",https://onepieceql.s3.amazonaws.com/Boa_Sandersonia_Anime.jpg
アデル,Adelle,Chapter 608; Episode 527,Mermaid Café,Grand Line (Ryugu Kingdom; Fish-Man Island),N/A,N/A,N/A,N/A,Adele is a mermaid and an employee at the Mermaid Café.,N/A,https://onepieceql.s3.amazonaws.com/Adele_Anime.jpg
ケイミー,Camie,Chapter 195 (cover); Episode 385,"Takoyaki 8, Mermaid Cafe","Grand Line (Ryugu Kingdom, Fish-Man Island)",16 (debut) 18 (after timeskip),November 3rd,X,N/A,"Camie is a kissing gourami mermaid that first appeared in Hatchan's Sea-Floor Stroll cover story. She first appeared in the main series after being spat out of a large sea boar that was saved by Hatchan, along with her starfish pet and master, Pappag. While dreaming of becoming a designer, she worked on Hatchan's Takoyaki 8 when she first met the Straw Hat Pirates. After the timeskip, she is a waitress at the Mermaid Cafe on Fish-Man Island.",N/A,https://onepieceql.s3.amazonaws.com/Camie_Anime_Post_Timeskip.jpg
ボア・マリーゴールド,Boa Marigold,Chapter 516; Episode 409,Kuja (Kuja Pirates),Calm Belt (Amazon Lily),26 (debut) 28 (after timeskip),September 5th,S,"40,000,000","Boa Marigold is the younger sister of Boa Hancock, the ruler of Amazon Lily. She is also one of the second-in commands of the Kuja Pirates and the younger sister of Boa Sandersonia. She and her sisters are referred to by the Kuja as the Gorgon Sisters.","Hebi Hebi no Mi, Model: King Cobra",https://onepieceql.s3.amazonaws.com/Boa_Marigold_Anime.jpg
カイマンレディ,Caiman Lady,Chapter 1004; Episode 1020,Beasts Pirates,N/A,N/A,N/A,N/A,N/A,"Caimanlady is a Gifter in the Beasts Pirates, being part of the surveillance division called the ""Marys"".",N/A,https://onepieceql.s3.amazonaws.com/Caimanlady_Anime.jpg
ブラックマリア,Black Maria,Chapter 977; Episode 982,Beasts Pirates (Tobiroppo),Wano Country,29,September 24th,S,"480,000,000","Black Maria is one of the Tobiroppo, the strongest six Shinuchi of the Beasts Pirates. She owns her own brothel on Onigashima near Kaidou's castle.","Kumo Kumo no Mi, Model: Rosamygale Grauvogeli",https://onepieceql.s3.amazonaws.com/Black_Maria_Anime.jpg
アントニオ,Antonio,Chapter 497; Episode 391,Antonio's Graman,N/A,N/A,January 21st,N/A,N/A,"Antonio is the owner of ""Antonio's Graman"" in Sabaody Archipelago.",N/A,https://onepieceql.s3.amazonaws.com/Antonio_Anime.jpg
チャッペ,Chappe,Chapter 668; Episode 593,Caesar Clown,N/A,N/A,N/A,N/A,N/A,"""Rope-Tugging"" Chappe is an ex-prisoner who was a henchman for Caesar Clown. He was first seen fighting against the Marines of G-5 on Punk Hazard.",N/A,https://onepieceql.s3.amazonaws.com/Chappe_Anime.jpg
アマゾン,Amazon,Chapter 238; Episode 153,Wagomuland,Grand Line (Skypiea),77 (debut) 79 (after timeskip),August 4th,X,N/A,"Amazon was the elderly gatekeeper of Skypiea and informer at the entrance to Skypiea known as Heaven's Gate. She let people in even if they could not pay her extol toll, but purposely failed to tell those who did not pay about the consequences for entering the city.",N/A,https://onepieceql.s3.amazonaws.com/Amazon_Manga_Post_Timeskip.jpg
ブルー・ギリー,Blue Gilly (Viz); Bluegilly (WT100),Chapter 706; Episode 636,Ideo Pirates; Straw Hat Grand Fleet,Grand Line,24,November 27th,S,N/A,"Blue Gilly is a martial artist from the Longleg Tribe. He joined as a gladiator at the Corrida Colosseum to compete for the Mera Mera no Mi. He is an ally of Luffy during the Dressrosa Arc. After the battle with the Donquixote Pirates at Dressrosa, he became part of the Straw Hat Grand Fleet when he joined the XXX Gym Martial Arts Alliance, which later converted to a pirate crew called the Ideo Pirates.",N/A,https://onepieceql.s3.amazonaws.com/Blue_Gilly_Anime.jpg
キャンサー,Cancer,Chapter 96; Episode 151,Marines,N/A,N/A,N/A,N/A,N/A,Cancer is a Marine vice admiral.,N/A,https://onepieceql.s3.amazonaws.com/Cancer_Anime.jpg
